"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT06","WT08"
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-03-17","0.02","0.0","0.0","72","81","57","    1",,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-03-18","0.00","0.0","0.0","61","75","49",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-03-19","0.00","0.0","0.0","59","72","46",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-03-20","0.00","0.0","0.0","57","71","42",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-03-21","0.00","0.0","0.0","58","74","45",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-03-22","0.00","0.0","0.0","63","73","57",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-03-23","0.39","0.0","0.0","66","83","51","    1",,"    1",,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-03-24","0.02","0.0","0.0","65","77","54","    1","    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-03-25","0.00","0.0","0.0","68","78","55",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-03-26","0.00","0.0","0.0","66","85","48",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-03-27","0.00","0.0","0.0","74","88","66","    1",,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-03-28","0.03","0.0","0.0","71","76","53",,,"    1",,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-03-29","0.00","0.0","0.0","61","75","47",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-03-30","0.00","0.0","0.0","68","80","61","    1",,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-03-31","0.00","0.0","0.0","71","76","61",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-04-01","0.00","0.0","0.0","62","71","50",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-04-02","0.00","0.0","0.0","62","75","50",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-04-03","0.01","0.0","0.0","61","72","54",,,"    1",,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-04-04","0.06","0.0","0.0","64","76","57",,,"    1",,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-04-05","0.00","0.0","0.0","69","81","59","    1",,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-04-06","0.00","0.0","0.0","74","90","68",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-04-07","0.00","0.0","0.0","76","94","63",,,,,,"    1"
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-04-08","0.00","0.0","0.0","76","94","63","    1","    1",,,,"    1"
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-04-09","0.00","0.0","0.0","78","95","67",,,,,,"    1"
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-04-10","0.00","0.0","0.0","76","87","61","    1",,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-04-11","0.00","0.0","0.0","70","89","52",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-04-12","0.00","0.0","0.0","77","92","67",,,,,,
