latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
43.24456,-95.40056,306.64,1,1,2022-04-01,1713,T,64,6.1NRT,277.03,9.69,D
42.6829,-93.64178,301.83,1.06,1.03,2022-04-01,1713,T,49,6.1NRT,280.14,6.73,D
42.76282,-96.8932,301.87,1.02,1.01,2022-04-01,1713,T,49,6.1NRT,278.97,5.44,D
41.8652,-93.20568,302.58,1.12,1.05,2022-04-01,1713,T,53,6.1NRT,285.63,5.66,D
42.37328,-96.67265,307.91,1.01,1.01,2022-04-01,1713,T,66,6.1NRT,277.25,8.45,D
41.70765,-92.58711,302.84,1.18,1.08,2022-04-01,1713,T,54,6.1NRT,285.36,5.94,D
41.65792,-95.93194,303.57,1,1,2022-04-01,1713,T,55,6.1NRT,280.28,4.92,D
41.51593,-97.14226,305.67,1.02,1.01,2022-04-01,1713,T,60,6.1NRT,286.4,4.83,D
41.51429,-97.13023,301.52,1.02,1.01,2022-04-01,1713,T,35,6.1NRT,284.19,2.74,D
41.43785,-97.04314,306.75,1.01,1.01,2022-04-01,1713,T,59,6.1NRT,282.55,6.32,D
40.95938,-94.93316,301.1,1.03,1.01,2022-04-01,1713,T,44,6.1NRT,283.37,3.65,D
41.31015,-98.30475,302.95,1.07,1.03,2022-04-01,1713,T,49,6.1NRT,283.22,5.19,D
41.30855,-98.29211,301.94,1.07,1.03,2022-04-01,1713,T,39,6.1NRT,283.22,4.18,D
40.75621,-97.11387,303.87,1.01,1,2022-04-01,1713,T,53,6.1NRT,285.19,2.85,D
39.97015,-95.96452,318.83,1.01,1,2022-04-01,1713,T,78,6.1NRT,292.77,13.24,D
39.80555,-96.22176,321.78,1,1,2022-04-01,1713,T,80,6.1NRT,288.67,16.11,D
39.80382,-96.21024,327.37,1,1,2022-04-01,1713,T,84,6.1NRT,289.66,22.17,D
39.76164,-96.99554,306.85,1,1,2022-04-01,1715,T,59,6.1NRT,284.42,4.33,D
39.75999,-96.98402,309.39,1,1,2022-04-01,1715,T,65,6.1NRT,283.59,6.29,D
39.54551,-95.9108,304.06,1.01,1,2022-04-01,1715,T,57,6.1NRT,286.5,4.63,D
39.5151,-96.01433,304.93,1.01,1,2022-04-01,1715,T,51,6.1NRT,287.79,5.04,D
38.86697,-94.2944,305.62,1.12,1.05,2022-04-01,1715,T,62,6.1NRT,288.54,7.34,D
39.00571,-95.95173,321.25,1.01,1.01,2022-04-01,1715,T,70,6.1NRT,279.14,19.96,D
38.80003,-95.46697,304.81,1.04,1.02,2022-04-01,1715,T,60,6.1NRT,290.35,5.33,D
38.79817,-95.45525,305.49,1.04,1.02,2022-04-01,1715,T,61,6.1NRT,290.48,5.77,D
38.70936,-95.19563,303.35,1.05,1.02,2022-04-01,1715,T,56,6.1NRT,287.11,5.07,D
38.62468,-94.72187,305.04,1.09,1.04,2022-04-01,1715,T,60,6.1NRT,290.82,6.11,D
38.62266,-94.70959,302.68,1.09,1.04,2022-04-01,1715,T,53,6.1NRT,289.79,4.48,D
38.80386,-96.20479,302.79,1.01,1,2022-04-01,1715,T,54,6.1NRT,287.33,4.15,D
38.45467,-95.56779,306.77,1.04,1.02,2022-04-01,1715,T,64,6.1NRT,286.9,7.24,D
38.33432,-95.62906,302.32,1.04,1.02,2022-04-01,1715,T,52,6.1NRT,289.09,4.07,D
38.24012,-95.26779,303.75,1.06,1.03,2022-04-01,1715,T,57,6.1NRT,290,5.17,D
38.20902,-95.25109,305.35,1.06,1.03,2022-04-01,1715,T,61,6.1NRT,289.58,5.82,D
38.2071,-95.23924,306.73,1.06,1.03,2022-04-01,1715,T,64,6.1NRT,289.77,6.82,D
38.31313,-95.96427,302.49,1.02,1.01,2022-04-01,1715,T,40,6.1NRT,288.04,4.85,D
38.36232,-96.34306,310.27,1.01,1,2022-04-01,1715,T,63,6.1NRT,288.54,8.46,D
38.35886,-96.32037,333.6,1.01,1,2022-04-01,1715,T,89,6.1NRT,288.16,33.1,D
38.35342,-96.34524,317.71,1.01,1,2022-04-01,1715,T,78,6.1NRT,288.82,14.64,D
38.3626,-97.08647,302.05,1,1,2022-04-01,1715,T,38,6.1NRT,287.14,3.6,D
38.09861,-96.07186,317.03,1.02,1.01,2022-04-01,1715,T,77,6.1NRT,288.61,15.05,D
38.07005,-96.00763,315.98,1.02,1.01,2022-04-01,1715,T,65,6.1NRT,288,12.06,D
38.06287,-96.02126,323.48,1.02,1.01,2022-04-01,1715,T,82,6.1NRT,288.38,19.59,D
38.0037,-95.94065,319.47,1.03,1.01,2022-04-01,1715,T,79,6.1NRT,290.51,16.72,D
38.00189,-95.92917,365.81,1.03,1.01,2022-04-01,1715,T,100,6.1NRT,292.98,106.18,D
37.99292,-95.9314,303.18,1.03,1.01,2022-04-01,1715,T,15,6.1NRT,286.91,3.58,D
37.94394,-96.21032,310.75,1.02,1.01,2022-04-01,1715,T,70,6.1NRT,290.41,7.76,D
37.94218,-96.19894,313.8,1.02,1.01,2022-04-01,1715,T,74,6.1NRT,291.26,10.2,D
37.93443,-96.20732,344.06,1.02,1.01,2022-04-01,1715,T,94,6.1NRT,292.67,50.38,D
37.93267,-96.19593,320.93,1.02,1.01,2022-04-01,1715,T,81,6.1NRT,290.98,17.63,D
37.79769,-96.28168,328.15,1.02,1.01,2022-04-01,1715,T,71,6.1NRT,293.62,22.94,D
37.78876,-96.28387,349.56,1.02,1.01,2022-04-01,1715,T,96,6.1NRT,294.39,58.08,D
37.787,-96.27254,328.52,1.02,1.01,2022-04-01,1715,T,65,6.1NRT,292.71,23.08,D
37.77807,-96.27469,323.64,1.02,1.01,2022-04-01,1715,T,83,6.1NRT,292.46,18.96,D
37.77631,-96.26334,321.48,1.02,1.01,2022-04-01,1715,T,81,6.1NRT,292.19,16.64,D
37.55623,-96.33546,331.01,1.02,1.01,2022-04-01,1715,T,87,6.1NRT,291.79,28.11,D
37.55448,-96.32415,327.87,1.02,1.01,2022-04-01,1715,T,85,6.1NRT,290.4,23.97,D
37.54903,-96.3489,315.99,1.02,1.01,2022-04-01,1715,T,57,6.1NRT,291.75,11.1,D
37.5401,-96.35104,334.1,1.02,1.01,2022-04-01,1715,T,89,6.1NRT,293.13,31.56,D
37.53117,-96.35317,314.1,1.02,1.01,2022-04-01,1715,T,68,6.1NRT,291.38,9.8,D
37.11881,-94.46008,302.97,1.16,1.07,2022-04-01,1715,T,43,6.1NRT,290.03,3.4,D
37.38593,-96.13515,314.32,1.03,1.01,2022-04-01,1715,T,74,6.1NRT,293.38,10.44,D
37.38414,-96.12376,316.49,1.03,1.01,2022-04-01,1715,T,77,6.1NRT,292.54,12.52,D
37.45739,-96.77913,309.53,1.01,1,2022-04-01,1715,T,51,6.1NRT,291.46,6.38,D
37.44849,-96.7812,321.19,1.01,1,2022-04-01,1715,T,81,6.1NRT,290.99,16.66,D
36.91799,-93.90425,300.71,1.23,1.1,2022-04-01,1715,T,30,6.1NRT,287.81,3.78,D
37.17334,-95.55178,305.89,1.06,1.03,2022-04-01,1715,T,60,6.1NRT,290.76,5.65,D
37.01604,-94.65796,310.04,1.14,1.06,2022-04-01,1715,T,69,6.1NRT,292.7,9.06,D
37.25037,-96.3333,333.34,1.02,1.01,2022-04-01,1715,T,88,6.1NRT,294.42,31.39,D
37.24861,-96.322,310.97,1.02,1.01,2022-04-01,1715,T,69,6.1NRT,293.45,7.67,D
37.07198,-95.49787,307.09,1.07,1.03,2022-04-01,1715,T,62,6.1NRT,292.62,5.95,D
36.97215,-95.23854,345.37,1.09,1.04,2022-04-01,1715,T,94,6.1NRT,294.36,57.4,D
36.97016,-95.22655,307.64,1.09,1.04,2022-04-01,1715,T,64,6.1NRT,291.69,6.09,D
36.8242,-94.36986,302.76,1.18,1.08,2022-04-01,1715,T,54,6.1NRT,290.34,4.41,D
36.96294,-95.24087,335.9,1.09,1.04,2022-04-01,1715,T,90,6.1NRT,293.28,39.04,D
36.96094,-95.22887,305.53,1.09,1.04,2022-04-01,1715,T,39,6.1NRT,292.37,4.36,D
36.93203,-95.26734,317.73,1.09,1.04,2022-04-01,1715,T,76,6.1NRT,291.88,13.86,D
36.92479,-95.28163,311.04,1.09,1.04,2022-04-01,1715,T,69,6.1NRT,291.44,8.19,D
36.92282,-95.26966,321.42,1.09,1.04,2022-04-01,1715,T,80,6.1NRT,292.89,18.36,D
36.92606,-95.8018,331.69,1.05,1.02,2022-04-01,1715,T,87,6.1NRT,294.18,30.35,D
36.75691,-95.84391,306.2,1.05,1.02,2022-04-01,1715,T,34,6.1NRT,292.67,4.06,D
36.74432,-95.88297,316.22,1.05,1.02,2022-04-01,1715,T,41,6.1NRT,293.62,10.49,D
36.62706,-95.33822,309.13,1.09,1.04,2022-04-01,1715,T,65,6.1NRT,291.69,7.25,D
36.62509,-95.32631,316.13,1.09,1.04,2022-04-01,1715,T,75,6.1NRT,292.62,13.5,D
36.92003,-97.26208,319.18,1,1,2022-04-01,1715,T,78,6.1NRT,293.68,14.54,D
